Times,BER,EbNo,Prop_Loss,Weather,Rain_Loss,EIRP,Range,Rcvd_Frequency,g_over_T,Bandwidth,Free_Space_Loss,Propagation_Delay,Rcvd_Iso_Power,C/No,Atmos Loss
67151.279,0.06867061490222831,0.42870404566626436,172.167045086193,Clear,0.0,12.0,799.9838432509125,12.000156041986703,12.0,200.0,172.09303246122897,0.002668458868471309,-160.1704348174045,20.428704045666265,0.07401262496404701
67152.0,0.06797543609499385,0.4594888185629378,172.13628689857723,Clear,0.0,12.0,797.1841462664261,12.00015481864074,12.0,200.0,172.06258120739204,0.002659120084556717,-160.13965004450785,20.45948881856294,0.0737056911851649
67153.0,0.06702136182382562,0.501957137517219,172.09385591997076,Clear,0.0,12.0,793.3377904682193,12.000153100377906,12.0,200.0,172.0205709888245,0.002646290022640327,-160.09718172555355,20.501957137517216,0.07328493114625545
67154.0,0.06607923894126622,0.5441486919535207,172.05170225324866,Clear,0.0,12.0,789.5346754356401,12.000151356912225,12.0,200.0,171.9788323121707,0.0026336041963925597,-160.05499017111728,20.54414869195352,0.07286994107798019
67155.0,0.06514928338131304,0.5860515582999761,172.00983782621876,Clear,0.0,12.0,785.7754333866242,12.000149588048108,12.0,200.0,171.93737707950336,0.002621064714665451,-160.0130873047708,20.586051558299978,0.07246074671538752
67156.0,0.0642317066587495,0.6276536048668049,171.96827477460408,Clear,0.0,12.0,782.0607009461684,12.00014779359928,12.0,200.0,171.89621740001422,0.0026086737010114123,-159.97148525820398,20.6276536048668,0.07205737458987524
67157.0,0.06332671585889876,0.6689424859007904,171.9270254479626,Clear,0.0,12.0,778.3911197453352,12.000145973389968,12.0,200.0,171.855365595863,0.0025964332956812915,-159.93019637717,20.668942485900793,0.07165985209959308
67158.0,0.0624345132176638,0.7099056550071786,171.88610239626283,Clear,0.0,12.0,774.7673353167593,12.000144127255004,12.0,200.0,171.81483418886955,0.0025843456519401807,-159.88923320806362,20.70990565500718,0.07126820739326209
67159.0,0.06155529603694215,0.7505303643053812,171.84551837070677,Clear,0.0,12.0,771.1899972959376,12.00014225504082,12.0,200.0,171.77463590130833,0.0025724129367388476,-159.8486084987654,20.750530364305384,0.07088246939841557
67160.0,0.06068925646059131,0.7908036708636801,171.80528631728205,Clear,0.0,12.0,767.6597590039371,12.00014035660606,12.0,200.0,171.7347836494996,0.0025606373293217974,-159.80833519220712,20.79080367086368,0.0705026677824417
67161.0,0.05983658129041808,0.8307124423500868,171.76541937109576,Clear,0.0,12.0,764.1772771337795,12.000138431822263,12.0,200.0,171.6952905381713,0.0025490210201811665,-159.7684264207207,20.830712442350084,0.07012883292447283
67162.0,0.05899745183943905,0.870243362025933,171.72593085136373,Clear,0.0,12.0,760.7432115268161,12.00013648057467,12.0,200.0,171.656169855465,0.002537566210310788,-159.72889550104486,20.87024336202593,0.06976099589876922
67163.0,0.05817204366533302,0.909382940553835,171.68683424959423,Clear,0.0,12.0,757.3582243926226,12.0001345027626,12.0,200.0,171.61743506119558,0.0025262751086040417,-159.68975592251695,20.909382940553837,0.06939918839863349
