Times,BER,EbNo,Prop_Loss,Weather,Rain_Loss,EIRP,Range,Rcvd_Frequency,g_over_T,Bandwidth,Free_Space_Loss,Propagation_Delay,Rcvd_Iso_Power,C/No,Atmos Loss
11184.185289314,0.27903604417845995,-7.656684143516791,180.253780597377,Clouds,8.018597315496281,12.0,799.9933988702788,12.000094034306985,12.0,200.0,172.09313621152376,0.0026684907425865894,-168.2558230065876,12.343315856483208,0.14204707035694805
11185.0,0.2782786960374598,-7.623305820313036,180.22044080288867,Clouds,8.006267758148184,12.0,798.0974847529855,12.00009226082043,12.0,200.0,172.07252698500142,0.0026621666538155053,-168.22244468338383,12.376694179686965,0.14164605973906844
11186.0,0.2773660682534283,-7.5831950665499805,180.18037771429135,Clouds,7.991508333852913,12.0,795.8199305526019,12.000090066758979,12.0,200.0,172.0477043716049,0.0026545695507543487,-168.18233392962077,12.416804933450019,0.14116500883354643
11187.0,0.2764725286844383,-7.5440397579057095,180.14127047795566,Clouds,7.977161037670158,12.0,793.5974248862832,12.000087853932065,12.0,200.0,172.0234131412953,0.002647156069837765,-168.1431786209765,12.45596024209429,0.1406962989901788
11188.0,0.27559848958933575,-7.505849304575481,180.1031284985017,Clouds,7.963225457461547,12.0,791.4304330582646,12.0000856225957,12.0,200.0,171.9996630683896,0.002639927763153617,-168.1049881676463,12.49415069542452,0.14023997265053917
11189.0,0.27474435693428506,-7.468632966057101,180.06596102949067,Clouds,7.949701117393819,12.0,789.319414121508,12.000083373022537,12.0,200.0,171.97646383994535,0.002632886161937763,-168.06777182912788,12.531367033942898,0.13979607215151155
11190.0,0.2739105298232177,-7.432399835624798,180.0297771578978,Clouds,7.936587477569528,12.0,787.2648201084955,12.00008110550193,12.0,200.0,171.9538250407448,0.0026260327740082624,-168.03153869869558,12.567600164375204,0.13936463958346926
11191.0,0.27309740007813293,-7.397158831231939,179.9945857950135,Clouds,7.9238839362990205,12.0,785.2670956142372,12.000078820339985,12.0,200.0,171.93175614198907,0.0026193690823744374,-167.9962976943027,12.602841168768059,0.1389457167253909
11192.0,0.27230535182818694,-7.362918686613627,179.96039566754558,Clouds,7.911589832711956,12.0,783.3266773768066,12.000076517859592,12.0,200.0,171.91026648985678,0.0026128965438376927,-167.9620575496844,12.637081313386373,0.13853934497684067
11193.0,0.27153476124899717,-7.329687948662879,179.92721531499387,Clouds,7.899704451872171,12.0,781.4439941989851,12.000074198400497,12.0,200.0,171.88936529776018,0.0026066165887301445,-167.92882681173367,12.670312051337122,0.13814556536150133
